Id,Name,Address,City,State,Zip,Website
102,SALEM COMMUNITY COLLEGE,460 HOLLYWOOD AVENUE,CARNEYS POINT,NJ,08069,www.salemcc.edu/
103,CAPRI INSTITUTE OF HAIR DESIGN-KENILWORTH,660 N MICHIGAN AVE,KENILWORTH,NJ,07033,www.capriinstitute.com/
104,RECONSTRUCTIONIST RABBINICAL COLLEGE,1299 CHURCH RD,WYNCOTE,PA,19095,www.rrc.edu/
105,FIVE TOWNS COLLEGE,305 NORTH SERVICE ROAD,DIX HILLS,NY,11746,www.ftc.edu/
106,UNITECH TRAINING ACADEMY-BATON ROUGE,10551 COURSEY BLVD,BATON ROUGE,LA,70816,www.unitechtrainingacademy.com/
107,INSTITUTE OF MEDICAL ULTRASOUND,"225 PEACHTREE STREET NE, SUITE 1925",ATLANTA,GA,30303,www.imu.edu/
108,PRO BEAUTY ACADEMY,"1655 OAK TREE ROAD, SUITE 285A",EDISON,NJ,08820,www.probeautyacademy.com/
109,COLUMBIA COLLEGE - SPRINGFIELD TMOBILE,2645 N. AIRPORT PLAZA AVE,SPRINGFIELD,MO,65803,NOT AVAILABLE
110,TOTAL BEAUTY INSTITUTE,5308 NORTH PEARL STREET,JACKSONVILLE,FL,32208,www.totalbeautyinstitute.com/
111,PREMIERE AESTHETICS INSTITUTE,1693 SOUTHWEST CHANDLER AVENUE,BEND,OR,97702,www.premiereaestheticsinstitute.com/
112,PAUL MITCHELL THE SCHOOL-RENO-NORTH TAHOE,12047 DONNER PASS ROAD SUITE A 1,TRUCKEE,CA,96161,https://paulmitchell.edu/northtahoe
113,NATIONAL UNIVERSITY COLLEGE - PEMBROKE PINES,12520 PINES BOULEVARD SUITE 100A,PEMBROKE PINES,FL,33027,NOT AVAILABLE
114,NUC UNIVERSITY - IBC INSTITUTE - MAYAG?EZ,#75 AVENIDA TENERIFE CARRETERA #2 BARRIO SULTANA,MAYAGUEZ,PR,00680,NOT AVAILABLE
115,SAN JOAQUIN VALLEY COLLEGE-RANCHO MIRAGE,34275 MONTEREY AVENUE,RANCHO MIRAGE,CA,92270,https://www.sjvc.edu/
116,SAN JACINTO COMMUNITY COLLEGE DISTRICT - GENERATION PARK CAMPUS,13455 LOCKWOOD ROAD,HOUSTON,TX,77044,NOT AVAILABLE
117,PLATT COLLEGE-MILLER-MOTTE COLLEGE-CHATTANOOGA 2,4180 SOUTH CREEK ROAD,CHATTANGOOGA,TN,37406,https://www.miller-motte.edu/
118,TECHSHERPAS 365,10213 WILSKY BLVD,TAMPA,FL,33625,https://techsherpas.com/
119,PPG TECHNICAL COLLEGE,"VILLA BLANCA INDUSTRIAL PARK, AVE SAKURA #6",CAGUAS,PR,00726,www.ppg.edu/
120,UNITECH TRAINING ACADEMY-ALEXANDRIA,2800 S. MACARTHUR DRIVE,ALEXANDRIA,LA,71301,www.unitechtrainingacademy.com/
121,FLORIDA INTERNATIONAL TRAINING INSTITUTE,7265 NORTHWEST 25TH STREET,MIAMI,FL,33122,www.fitischools.com/
122,CALIFORNIA BARBER AND BEAUTY COLLEGE,5315 EL CAJON BOULEVARD,SAN DIEGO,CA,92115,https://www.californiabarberandbeauty.com/
123,RIO SALADO COLLEGE,2323 W 14TH ST,TEMPE,AZ,85281,www.rio.maricopa.edu/
124,CAROLINA UNIVERSITY,420 S. BROAD ST.,WINSTON-SALEM,NC,27101,https://www.carolinau.edu/
125,KENNY'S ACADEMY OF BARBERING,2150 LAFAYETTE ROAD,INDIANAPOLIS,IN,46222,kennysacademy.com/
126,PRINCETON UNIVERSITY,1 NASSAU HALL,PRINCETON,NJ,08544,www.princeton.edu/
127,THE BEAUTY INSTITUTE,1921 UNION BLVD,ALLENTOWN,PA,18109,https://www.thebeautyinstituteskp.edu/
128,TRI-COUNTY COMMUNITY COLLEGE,21 CAMPUS CIRCLE,MURPHY,NC,28906,www.tricountycc.edu/
129,WESTERN PIEDMONT COMMUNITY COLLEGE,1001 BURKEMONT AVE,MORGANTON,NC,28655,https://www.wpcc.edu/
